"Plot Title: Pressure_872_LowSGD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)"
55,06/05/22 11:04:00 AM,105.028,28.060
56,06/05/22 11:08:00 AM,105.257,28.159
57,06/05/22 11:12:00 AM,105.047,28.159
58,06/05/22 11:16:00 AM,105.061,28.060
59,06/05/22 11:20:00 AM,105.352,28.060
60,06/05/22 11:24:00 AM,105.222,28.060
61,06/05/22 11:28:00 AM,105.061,28.060
62,06/05/22 11:32:00 AM,105.225,28.159
63,06/05/22 11:36:00 AM,105.160,28.159
64,06/05/22 11:40:00 AM,105.209,28.159
65,06/05/22 11:44:00 AM,105.190,28.060
66,06/05/22 11:48:00 AM,105.319,28.060
67,06/05/22 11:52:00 AM,105.271,28.060
68,06/05/22 11:56:00 AM,105.238,28.060
69,06/05/22 12:00:00 PM,105.322,28.159
70,06/05/22 12:04:00 PM,105.405,28.258
71,06/05/22 12:08:00 PM,105.098,28.258
72,06/05/22 12:12:00 PM,105.454,28.258
73,06/05/22 12:16:00 PM,105.165,28.357
74,06/05/22 12:20:00 PM,105.392,28.357
75,06/05/22 12:24:00 PM,105.475,28.456
76,06/05/22 12:28:00 PM,105.023,28.456
77,06/05/22 12:32:00 PM,105.491,28.456
78,06/05/22 12:36:00 PM,105.540,28.456
79,06/05/22 12:40:00 PM,105.233,28.456
80,06/05/22 12:44:00 PM,105.494,28.555
81,06/05/22 12:48:00 PM,105.397,28.555
82,06/05/22 12:52:00 PM,105.300,28.555
83,06/05/22 12:56:00 PM,105.523,28.456
84,06/05/22 01:00:00 PM,105.459,28.456
85,06/05/22 01:04:00 PM,105.556,28.456
86,06/05/22 01:08:00 PM,105.330,28.456
87,06/05/22 01:12:00 PM,105.378,28.456
88,06/05/22 01:16:00 PM,105.685,28.456
89,06/05/22 01:20:00 PM,105.443,28.456
90,06/05/22 01:24:00 PM,105.378,28.456
91,06/05/22 01:28:00 PM,105.152,28.456
92,06/05/22 01:32:00 PM,105.394,28.456
93,06/05/22 01:36:00 PM,105.540,28.456
94,06/05/22 01:40:00 PM,105.200,28.456
95,06/05/22 01:44:00 PM,105.184,28.456
96,06/05/22 01:48:00 PM,105.103,28.456
97,06/05/22 01:52:00 PM,105.216,28.456
98,06/05/22 01:56:00 PM,105.297,28.456
99,06/05/22 02:00:00 PM,105.297,28.456
100,06/05/22 02:04:00 PM,105.216,28.456
101,06/05/22 02:08:00 PM,105.184,28.456
102,06/05/22 02:12:00 PM,105.461,28.555
103,06/05/22 02:16:00 PM,105.203,28.555
104,06/05/22 02:20:00 PM,105.203,28.555
105,06/05/22 02:24:00 PM,105.494,28.555
106,06/05/22 02:28:00 PM,105.122,28.555
107,06/05/22 02:32:00 PM,105.171,28.555
108,06/05/22 02:36:00 PM,105.346,28.456
109,06/05/22 02:40:00 PM,105.251,28.555
110,06/05/22 02:44:00 PM,105.235,28.555
111,06/05/22 02:48:00 PM,104.896,28.555
112,06/05/22 02:52:00 PM,105.041,28.555
113,06/05/22 02:56:00 PM,104.990,28.456
114,06/05/22 03:00:00 PM,105.265,28.456
115,06/05/22 03:04:00 PM,105.055,28.456
116,06/05/22 03:08:00 PM,104.990,28.456
117,06/05/22 03:12:00 PM,105.233,28.456
118,06/05/22 03:16:00 PM,105.184,28.456
119,06/05/22 03:20:00 PM,104.877,28.456
120,06/05/22 03:24:00 PM,104.893,28.456
121,06/05/22 03:28:00 PM,104.942,28.456
122,06/05/22 03:32:00 PM,104.990,28.456
123,06/05/22 03:36:00 PM,105.071,28.456
124,06/05/22 03:40:00 PM,104.858,28.357
125,06/05/22 03:44:00 PM,104.842,28.357
126,06/05/22 03:48:00 PM,105.004,28.357
127,06/05/22 03:52:00 PM,104.761,28.357
128,06/05/22 03:56:00 PM,104.713,28.357
129,06/05/22 04:00:00 PM,104.955,28.357
130,06/05/22 04:04:00 PM,104.826,28.357
131,06/05/22 04:08:00 PM,104.826,28.357
132,06/05/22 04:12:00 PM,104.565,28.258
133,06/05/22 04:16:00 PM,104.727,28.258
134,06/05/22 04:20:00 PM,104.630,28.258
135,06/05/22 04:24:00 PM,104.678,28.258
136,06/05/22 04:28:00 PM,104.694,28.258
137,06/05/22 04:32:00 PM,104.662,28.258
138,06/05/22 04:36:00 PM,104.614,28.258
139,06/05/22 04:40:00 PM,104.581,28.258
140,06/05/22 04:44:00 PM,104.807,28.258
141,06/05/22 04:48:00 PM,104.775,28.258
142,06/05/22 04:52:00 PM,104.627,28.159
143,06/05/22 04:56:00 PM,104.756,28.159
144,06/05/22 05:00:00 PM,104.595,28.159
145,06/05/22 05:04:00 PM,104.627,28.159
146,06/05/22 05:08:00 PM,104.837,28.159
147,06/05/22 05:12:00 PM,104.772,28.159
148,06/05/22 05:16:00 PM,104.770,28.060
149,06/05/22 05:20:00 PM,104.802,28.060
150,06/05/22 05:24:00 PM,104.673,28.060
151,06/05/22 05:28:00 PM,104.592,28.060
152,06/05/22 05:32:00 PM,104.899,28.060
153,06/05/22 05:36:00 PM,104.592,28.060
154,06/05/22 05:40:00 PM,104.560,28.060
155,06/05/22 05:44:00 PM,104.493,27.961
156,06/05/22 05:48:00 PM,104.816,27.961
157,06/05/22 05:52:00 PM,104.525,27.961
158,06/05/22 05:56:00 PM,104.654,27.961
159,06/05/22 06:00:00 PM,104.816,27.961
160,06/05/22 06:04:00 PM,104.783,27.961
161,06/05/22 06:08:00 PM,104.781,27.862
162,06/05/22 06:12:00 PM,104.878,27.862
163,06/05/22 06:16:00 PM,104.619,27.862
164,06/05/22 06:20:00 PM,104.732,27.862
165,06/05/22 06:24:00 PM,104.781,27.862
166,06/05/22 06:28:00 PM,104.716,27.862
167,06/05/22 06:32:00 PM,104.797,27.862
168,06/05/22 06:36:00 PM,104.649,27.764
169,06/05/22 06:40:00 PM,104.649,27.764
170,06/05/22 06:44:00 PM,104.762,27.764
171,06/05/22 06:48:00 PM,104.681,27.764
172,06/05/22 06:52:00 PM,104.568,27.764
173,06/05/22 06:56:00 PM,104.455,27.764
174,06/05/22 07:00:00 PM,104.633,27.764
175,06/05/22 07:04:00 PM,104.795,27.764
176,06/05/22 07:08:00 PM,104.550,27.665
177,06/05/22 07:12:00 PM,104.711,27.665
178,06/05/22 07:16:00 PM,104.727,27.665
179,06/05/22 07:20:00 PM,104.743,27.665
180,06/05/22 07:24:00 PM,104.663,27.665
181,06/05/22 07:28:00 PM,104.550,27.665
182,06/05/22 07:32:00 PM,104.727,27.665
183,06/05/22 07:36:00 PM,104.776,27.665
184,06/05/22 07:40:00 PM,104.515,27.567
185,06/05/22 07:44:00 PM,104.563,27.567
186,06/05/22 07:48:00 PM,104.644,27.567
187,06/05/22 07:52:00 PM,104.628,27.567
188,06/05/22 07:56:00 PM,104.709,27.567
189,06/05/22 08:00:00 PM,104.741,27.567
190,06/05/22 08:04:00 PM,104.579,27.567
191,06/05/22 08:08:00 PM,104.660,27.567
192,06/05/22 08:12:00 PM,104.596,27.567
193,06/05/22 08:16:00 PM,104.644,27.567
194,06/05/22 08:20:00 PM,104.660,27.567
195,06/05/22 08:24:00 PM,104.851,27.468
196,06/05/22 08:28:00 PM,104.706,27.468
197,06/05/22 08:32:00 PM,104.641,27.468
198,06/05/22 08:36:00 PM,104.884,27.468
199,06/05/22 08:40:00 PM,104.674,27.468
200,06/05/22 08:44:00 PM,104.690,27.468
201,06/05/22 08:48:00 PM,104.512,27.468
202,06/05/22 08:52:00 PM,104.674,27.468
203,06/05/22 08:56:00 PM,104.771,27.468
204,06/05/22 09:00:00 PM,104.787,27.468
205,06/05/22 09:04:00 PM,104.655,27.370
206,06/05/22 09:08:00 PM,104.639,27.370
207,06/05/22 09:12:00 PM,104.800,27.370
208,06/05/22 09:16:00 PM,104.720,27.370
209,06/05/22 09:20:00 PM,104.720,27.370
210,06/05/22 09:24:00 PM,104.736,27.370
211,06/05/22 09:28:00 PM,104.607,27.370
212,06/05/22 09:32:00 PM,104.752,27.370
213,06/05/22 09:36:00 PM,104.655,27.370
214,06/05/22 09:40:00 PM,104.687,27.370
215,06/05/22 09:44:00 PM,104.895,27.272
216,06/05/22 09:48:00 PM,104.653,27.272
217,06/05/22 09:52:00 PM,104.701,27.272
218,06/05/22 09:56:00 PM,104.749,27.272
219,06/05/22 10:00:00 PM,104.895,27.272
220,06/05/22 10:04:00 PM,104.733,27.272
221,06/05/22 10:08:00 PM,104.685,27.272
222,06/05/22 10:12:00 PM,104.717,27.272
223,06/05/22 10:16:00 PM,104.588,27.272
224,06/05/22 10:20:00 PM,104.604,27.272
225,06/05/22 10:24:00 PM,104.862,27.272
226,06/05/22 10:28:00 PM,104.798,27.272
227,06/05/22 10:32:00 PM,104.620,27.272
228,06/05/22 10:36:00 PM,104.669,27.272
229,06/05/22 10:40:00 PM,104.895,27.272
230,06/05/22 10:44:00 PM,104.814,27.272
231,06/05/22 10:48:00 PM,104.876,27.173
232,06/05/22 10:52:00 PM,104.650,27.173
233,06/05/22 10:56:00 PM,104.585,27.173
234,06/05/22 11:00:00 PM,104.876,27.173
235,06/05/22 11:04:00 PM,104.747,27.173
236,06/05/22 11:08:00 PM,104.795,27.173
237,06/05/22 11:12:00 PM,104.779,27.173
238,06/05/22 11:16:00 PM,104.698,27.173
239,06/05/22 11:20:00 PM,104.828,27.173
240,06/05/22 11:24:00 PM,104.844,27.173
241,06/05/22 11:28:00 PM,104.634,27.173
242,06/05/22 11:32:00 PM,104.715,27.173
243,06/05/22 11:36:00 PM,104.860,27.173
244,06/05/22 11:40:00 PM,104.747,27.173
245,06/05/22 11:44:00 PM,104.634,27.173
246,06/05/22 11:48:00 PM,104.763,27.173
247,06/05/22 11:52:00 PM,105.005,27.173
248,06/05/22 11:56:00 PM,104.892,27.173
249,06/06/22 12:00:00 AM,104.876,27.173
250,06/06/22 12:04:00 AM,104.989,27.173
251,06/06/22 12:08:00 AM,104.844,27.173
252,06/06/22 12:12:00 AM,105.038,27.173
253,06/06/22 12:16:00 AM,104.779,27.173
254,06/06/22 12:20:00 AM,104.892,27.173
255,06/06/22 12:24:00 AM,104.779,27.173
256,06/06/22 12:28:00 AM,104.828,27.173
257,06/06/22 12:32:00 AM,104.957,27.173
258,06/06/22 12:36:00 AM,105.038,27.173
259,06/06/22 12:40:00 AM,104.989,27.173
260,06/06/22 12:44:00 AM,104.712,27.075
261,06/06/22 12:48:00 AM,105.019,27.075
262,06/06/22 12:52:00 AM,105.019,27.075
263,06/06/22 12:56:00 AM,105.116,27.075
264,06/06/22 01:00:00 AM,105.213,27.075
265,06/06/22 01:04:00 AM,104.825,27.075
266,06/06/22 01:08:00 AM,105.132,27.075
267,06/06/22 01:12:00 AM,104.970,27.075
268,06/06/22 01:16:00 AM,105.051,27.075
269,06/06/22 01:20:00 AM,105.083,27.075
270,06/06/22 01:24:00 AM,105.100,27.075
271,06/06/22 01:28:00 AM,105.051,27.075
272,06/06/22 01:32:00 AM,104.825,27.075
273,06/06/22 01:36:00 AM,105.180,27.075
274,06/06/22 01:40:00 AM,105.067,27.075
275,06/06/22 01:44:00 AM,105.003,27.075
276,06/06/22 01:48:00 AM,105.051,27.075
277,06/06/22 01:52:00 AM,105.116,27.075
278,06/06/22 01:56:00 AM,104.890,27.075
279,06/06/22 02:00:00 AM,104.906,27.075
280,06/06/22 02:04:00 AM,104.970,27.075
281,06/06/22 02:08:00 AM,104.987,27.075
282,06/06/22 02:12:00 AM,105.019,27.075
283,06/06/22 02:16:00 AM,104.874,27.075
284,06/06/22 02:20:00 AM,105.019,27.075
285,06/06/22 02:24:00 AM,104.712,27.075
286,06/06/22 02:28:00 AM,104.906,27.075
287,06/06/22 02:32:00 AM,104.793,27.075
288,06/06/22 02:36:00 AM,104.922,27.075
289,06/06/22 02:40:00 AM,105.067,27.075
290,06/06/22 02:44:00 AM,104.631,27.075
291,06/06/22 02:48:00 AM,104.825,27.075
292,06/06/22 02:52:00 AM,104.760,27.075
293,06/06/22 02:56:00 AM,104.744,27.075
294,06/06/22 03:00:00 AM,104.777,27.075
295,06/06/22 03:04:00 AM,104.664,27.075
296,06/06/22 03:08:00 AM,104.680,27.075
297,06/06/22 03:12:00 AM,104.680,27.075
298,06/06/22 03:16:00 AM,104.680,27.075
299,06/06/22 03:20:00 AM,104.809,27.075
300,06/06/22 03:24:00 AM,104.890,27.075
301,06/06/22 03:28:00 AM,104.793,27.075
302,06/06/22 03:32:00 AM,104.987,27.075
303,06/06/22 03:36:00 AM,104.744,27.075
304,06/06/22 03:40:00 AM,104.777,27.075
305,06/06/22 03:44:00 AM,104.664,27.075
306,06/06/22 03:48:00 AM,104.777,27.075
307,06/06/22 03:52:00 AM,104.777,27.075
308,06/06/22 03:56:00 AM,104.744,27.075
309,06/06/22 04:00:00 AM,104.532,26.977
310,06/06/22 04:04:00 AM,104.403,26.977
311,06/06/22 04:08:00 AM,104.596,26.977
312,06/06/22 04:12:00 AM,104.451,26.977
313,06/06/22 04:16:00 AM,104.435,26.977
314,06/06/22 04:20:00 AM,104.564,26.977
315,06/06/22 04:24:00 AM,104.370,26.977
316,06/06/22 04:28:00 AM,104.580,26.977
317,06/06/22 04:32:00 AM,104.580,26.977
318,06/06/22 04:36:00 AM,104.354,26.977
319,06/06/22 04:40:00 AM,104.483,26.977
320,06/06/22 04:44:00 AM,104.610,26.879
321,06/06/22 04:48:00 AM,104.610,26.879
322,06/06/22 04:52:00 AM,104.546,26.879
323,06/06/22 04:56:00 AM,104.594,26.879
324,06/06/22 05:00:00 AM,104.449,26.879
325,06/06/22 05:04:00 AM,104.626,26.879
326,06/06/22 05:08:00 AM,104.626,26.879
327,06/06/22 05:12:00 AM,104.432,26.879
328,06/06/22 05:16:00 AM,104.384,26.879
329,06/06/22 05:20:00 AM,104.336,26.879
330,06/06/22 05:24:00 AM,104.497,26.879
331,06/06/22 05:28:00 AM,104.562,26.879
332,06/06/22 05:32:00 AM,104.529,26.879
333,06/06/22 05:36:00 AM,104.336,26.879
334,06/06/22 05:40:00 AM,104.432,26.879
335,06/06/22 05:44:00 AM,104.384,26.879
336,06/06/22 05:48:00 AM,104.382,26.781
337,06/06/22 05:52:00 AM,104.478,26.781
338,06/06/22 05:56:00 AM,104.656,26.781
339,06/06/22 06:00:00 AM,104.543,26.781
340,06/06/22 06:04:00 AM,104.608,26.781
341,06/06/22 06:08:00 AM,104.656,26.781
342,06/06/22 06:12:00 AM,104.446,26.781
343,06/06/22 06:16:00 AM,104.250,26.683
344,06/06/22 06:20:00 AM,104.540,26.683
345,06/06/22 06:24:00 AM,104.540,26.683
346,06/06/22 06:28:00 AM,104.476,26.683
347,06/06/22 06:32:00 AM,104.605,26.683
348,06/06/22 06:36:00 AM,104.395,26.683
349,06/06/22 06:40:00 AM,104.653,26.683
350,06/06/22 06:44:00 AM,104.621,26.683
351,06/06/22 06:48:00 AM,104.621,26.683
352,06/06/22 06:52:00 AM,104.573,26.683
353,06/06/22 06:56:00 AM,104.444,26.683
354,06/06/22 07:00:00 AM,104.621,26.683
355,06/06/22 07:04:00 AM,104.783,26.683
356,06/06/22 07:08:00 AM,104.476,26.683
357,06/06/22 07:12:00 AM,104.379,26.683
358,06/06/22 07:16:00 AM,104.508,26.683
359,06/06/22 07:20:00 AM,104.492,26.683
360,06/06/22 07:24:00 AM,104.427,26.683
361,06/06/22 07:28:00 AM,104.492,26.683
362,06/06/22 07:32:00 AM,104.653,26.683
363,06/06/22 07:36:00 AM,104.379,26.683
364,06/06/22 07:40:00 AM,104.376,26.585
365,06/06/22 07:44:00 AM,104.489,26.585
366,06/06/22 07:48:00 AM,104.476,26.683
367,06/06/22 07:52:00 AM,104.379,26.683
368,06/06/22 07:56:00 AM,104.540,26.683
369,06/06/22 08:00:00 AM,104.589,26.683
370,06/06/22 08:04:00 AM,104.540,26.683
371,06/06/22 08:08:00 AM,104.347,26.683
372,06/06/22 08:12:00 AM,104.540,26.683
373,06/06/22 08:16:00 AM,104.444,26.683
374,06/06/22 08:20:00 AM,104.702,26.683
375,06/06/22 08:24:00 AM,104.605,26.683
376,06/06/22 08:28:00 AM,104.444,26.683
377,06/06/22 08:32:00 AM,104.446,26.781
378,06/06/22 08:36:00 AM,104.591,26.781
379,06/06/22 08:40:00 AM,104.575,26.781
380,06/06/22 08:44:00 AM,104.624,26.781
381,06/06/22 08:48:00 AM,104.465,26.879
382,06/06/22 08:52:00 AM,104.707,26.879
383,06/06/22 08:56:00 AM,104.416,26.879
384,06/06/22 09:00:00 AM,104.610,26.879
385,06/06/22 09:04:00 AM,104.467,26.977
386,06/06/22 09:08:00 AM,104.532,26.977
387,06/06/22 09:12:00 AM,104.435,26.977
388,06/06/22 09:16:00 AM,104.518,27.075
389,06/06/22 09:20:00 AM,104.583,27.075
390,06/06/22 09:24:00 AM,104.615,27.075
391,06/06/22 09:28:00 AM,104.486,27.075
392,06/06/22 09:32:00 AM,104.599,27.075
393,06/06/22 09:36:00 AM,104.647,27.075
394,06/06/22 09:40:00 AM,101.420,26.977
395,06/06/22 09:44:00 AM,101.457,27.173
396,06/06/22 09:48:00 AM,101.473,27.173
397,06/06/22 09:52:00 AM,101.487,27.075
398,06/06/22 09:56:00 AM,101.457,27.173
399,06/06/22 10:00:00 AM,101.467,27.567
400,06/06/22 10:04:00 AM,101.485,27.665
401,06/06/22 10:08:00 AM,101.489,28.456
402,06/06/22 10:12:00 AM,101.456,29.053
403,06/06/22 10:16:00 AM,101.456,29.053
404,06/06/22 10:20:00 AM,101.459,29.152
405,06/06/22 10:24:00 AM,101.448,29.352
406,06/06/22 10:28:00 AM,101.466,29.452
407,06/06/22 10:32:00 AM,101.453,29.552
408,06/06/22 10:36:00 AM,101.455,29.652
409,06/06/22 10:40:00 AM,101.428,29.853
410,06/06/22 10:44:00 AM,101.447,29.953
411,06/06/22 10:48:00 AM,101.436,30.154
412,06/06/22 10:52:00 AM,101.438,30.255
413,06/06/22 10:56:00 AM,101.425,30.356
414,06/06/22 11:00:00 AM,101.382,30.558
415,06/06/22 11:04:00 AM,101.416,30.659
416,06/06/22 11:08:00 AM,101.422,30.862
417,06/06/22 11:12:00 AM,101.408,30.963
418,06/06/22 11:16:00 AM,101.413,31.166
419,06/06/22 11:20:00 AM,101.400,31.268
420,06/06/22 11:24:00 AM,101.389,31.472
421,06/06/22 11:28:00 AM,101.394,31.676
422,06/06/22 11:32:00 AM,101.367,31.880
423,06/06/22 11:36:00 AM,101.356,32.086
424,06/06/22 11:40:00 AM,101.362,32.291
425,06/06/22 11:44:00 AM,101.367,32.497
426,06/06/22 11:48:00 AM,101.356,32.704
427,06/06/22 11:52:00 AM,101.378,32.911
428,06/06/22 11:56:00 AM,101.367,33.118
429,06/06/22 12:00:00 PM,101.356,33.326
430,06/06/22 12:04:00 PM,101.343,33.430
431,06/06/22 12:08:00 PM,101.345,33.535
432,06/06/22 12:12:00 PM,101.351,33.743
433,06/06/22 12:16:00 PM,101.337,33.848
434,06/06/22 12:20:00 PM,101.337,33.848
435,06/06/22 12:24:00 PM,101.340,33.953
436,06/06/22 12:28:00 PM,101.324,33.953
437,06/06/22 12:32:00 PM,101.308,33.953
438,06/06/22 12:36:00 PM,101.311,34.058
439,06/06/22 12:40:00 PM,101.294,34.058
440,06/06/22 12:44:00 PM,101.292,33.953
441,06/06/22 12:48:00 PM,101.292,33.953
442,06/06/22 12:52:00 PM,101.289,33.848
443,06/06/22 12:56:00 PM,101.286,33.743
444,06/06/22 01:00:00 PM,101.284,33.639
445,06/06/22 01:04:00 PM,101.297,33.535
446,06/06/22 01:08:00 PM,101.278,33.430
447,06/06/22 01:12:00 PM,101.267,33.014
448,06/06/22 01:16:00 PM,101.259,32.704
449,06/06/22 01:20:00 PM,101.139,32.394
450,06/06/22 01:24:00 PM,101.241,31.983
451,06/06/22 01:28:00 PM,101.238,31.880
452,06/06/22 01:32:00 PM,101.227,32.086
453,06/06/22 01:36:00 PM,101.187,31.778
454,06/06/22 01:40:00 PM,101.212,31.472
455,06/06/22 01:44:00 PM,101.295,31.574
456,06/06/22 01:48:00 PM,101.311,31.574
457,06/06/22 01:52:00 PM,101.295,31.574
458,06/06/22 01:56:00 PM,101.313,31.676
459,06/06/22 02:00:00 PM,101.268,31.778
460,06/06/22 02:04:00 PM,101.303,31.880
461,06/06/22 02:08:00 PM,101.305,31.983
462,06/06/22 02:12:00 PM,101.308,32.086
463,06/06/22 02:16:00 PM,101.278,32.188
464,06/06/22 02:20:00 PM,100.776,32.086
465,06/06/22 02:24:00 PM,100.746,32.188
466,06/06/22 02:28:00 PM,100.752,32.394
467,06/06/22 02:32:00 PM,100.773,32.600
468,06/06/22 02:36:00 PM,100.749,32.911
469,06/06/22 02:40:00 PM,100.773,33.222
470,06/06/22 02:44:00 PM,100.746,33.430
471,06/06/22 02:48:00 PM,100.770,33.743
472,06/06/22 02:52:00 PM,100.762,34.058
473,06/06/22 02:56:00 PM,100.771,34.374
474,06/06/22 03:00:00 PM,100.760,34.585
475,06/06/22 03:04:00 PM,101.219,34.268
476,06/06/22 03:08:00 PM,101.273,33.222
477,06/06/22 03:12:00 PM,101.260,32.086
478,06/06/22 03:16:00 PM,101.942,29.152
479,06/06/22 03:20:00 PM,101.952,28.258
480,06/06/22 03:24:00 PM,101.963,28.060
481,06/06/22 03:28:00 PM,101.974,27.862
482,06/06/22 03:32:00 PM,101.941,27.862
483,06/06/22 03:36:00 PM,101.939,27.764
484,06/06/22 03:40:00 PM,101.971,27.764
485,06/06/22 03:44:00 PM,101.939,27.764
486,06/06/22 03:48:00 PM,101.958,27.862
487,06/06/22 03:52:00 PM,101.958,27.862
488,06/06/22 03:56:00 PM,101.941,27.862
489,06/06/22 04:00:00 PM,101.925,27.862
490,06/06/22 04:04:00 PM,101.909,27.862
491,06/06/22 04:08:00 PM,101.877,27.862
492,06/06/22 04:12:00 PM,101.941,27.862
493,06/06/22 04:16:00 PM,101.958,27.862
494,06/06/22 04:20:00 PM,102.038,27.862
495,06/06/22 04:24:00 PM,102.135,27.862
496,06/06/22 04:28:00 PM,102.264,27.862
497,06/06/22 04:32:00 PM,102.379,27.961
498,06/06/22 04:36:00 PM,102.492,27.961
499,06/06/22 04:40:00 PM,102.605,27.961
500,06/06/22 04:44:00 PM,102.718,27.961
501,06/06/22 04:48:00 PM,102.815,27.961
502,06/06/22 04:52:00 PM,102.847,27.961
503,06/06/22 04:56:00 PM,102.718,27.961
504,06/06/22 05:00:00 PM,102.589,27.961
505,06/06/22 05:04:00 PM,102.589,27.961
506,06/06/22 05:08:00 PM,102.573,27.961
507,06/06/22 05:12:00 PM,102.605,27.961
508,06/06/22 05:16:00 PM,102.637,27.961
509,06/06/22 05:20:00 PM,102.602,27.862
510,06/06/22 05:24:00 PM,102.602,27.862
511,06/06/22 05:28:00 PM,102.619,27.862
512,06/06/22 05:32:00 PM,102.619,27.862
513,06/06/22 05:36:00 PM,102.635,27.862
514,06/06/22 05:40:00 PM,102.635,27.862
515,06/06/22 05:44:00 PM,102.651,27.862
516,06/06/22 05:48:00 PM,102.632,27.764
517,06/06/22 05:52:00 PM,102.648,27.764
518,06/06/22 05:56:00 PM,102.632,27.764
519,06/06/22 06:00:00 PM,102.632,27.764
520,06/06/22 06:04:00 PM,102.632,27.764
521,06/06/22 06:08:00 PM,102.648,27.764
522,06/06/22 06:12:00 PM,102.648,27.764
523,06/06/22 06:16:00 PM,102.648,27.764
524,06/06/22 06:20:00 PM,102.664,27.764
525,06/06/22 06:24:00 PM,102.664,27.764
526,06/06/22 06:28:00 PM,102.664,27.764
527,06/06/22 06:32:00 PM,102.664,27.764
528,06/06/22 06:36:00 PM,102.680,27.764
529,06/06/22 06:40:00 PM,102.694,27.665
530,06/06/22 06:44:00 PM,102.678,27.665
531,06/06/22 06:48:00 PM,102.694,27.665
532,06/06/22 06:52:00 PM,102.710,27.665
533,06/06/22 06:56:00 PM,102.694,27.665
534,06/06/22 07:00:00 PM,102.710,27.665
535,06/06/22 07:04:00 PM,102.694,27.665
536,06/06/22 07:08:00 PM,102.694,27.665
537,06/06/22 07:12:00 PM,102.710,27.665
538,06/06/22 07:16:00 PM,102.694,27.665
539,06/06/22 07:20:00 PM,102.678,27.665
540,06/06/22 07:24:00 PM,102.724,27.567
541,06/06/22 07:28:00 PM,102.708,27.567
542,06/06/22 07:32:00 PM,102.724,27.567
543,06/06/22 07:36:00 PM,102.756,27.567
544,06/06/22 07:40:00 PM,102.724,27.567
545,06/06/22 07:44:00 PM,102.740,27.567
546,06/06/22 07:48:00 PM,102.724,27.567
547,06/06/22 07:52:00 PM,102.740,27.567
548,06/06/22 07:56:00 PM,102.740,27.567
549,06/06/22 08:00:00 PM,102.740,27.567
550,06/06/22 08:04:00 PM,102.754,27.468
551,06/06/22 08:08:00 PM,102.737,27.468
